analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_large_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
40,20,true,83.4529984,0.148726851438199,0.4968246046921121,0.3509484627724577,34,35,4.0,39.0,1.0,0.9551462943710085,0.1593643249665825,0.228,15,2040,0.15,0.25,30
50,25,true,221.924273,0.16291596607234557,0.3788306569513167,0.22320922750244623,38,40,19.0,48.0,1.0,0.9881366860090265,0.09748549323017408,0.2453,15,2040,0.15,0.25,30
60,30,true,422.7006351,0.15890542265049448,0.3697583341171881,0.2198291750197415,38,41,14.0,54.0,1.0,0.9867875647668394,0.12344559585492228,0.237,15,2040,0.15,0.25,30
20,10,true,16.4491213,0.1221099212818283,0.4087154094974478,0.28485991891726403,15,16,2.0,19.0,1.0,0.9612333483011525,0.0,0.2849,16,2041,0.15,0.25,30
30,15,true,35.3934069,0.12685483341720546,0.34898675951200686,0.22388055997614933,24,26,5.0,29.0,1.0,0.9548183254344392,0.1712480252764613,0.255,16,2041,0.15,0.25,30
40,20,true,84.6060714,0.1449753954935629,0.4157911649483988,0.2789518751656831,33,36,4.0,39.0,1.0,0.9622474561274148,0.19879073882908124,0.2428,16,2041,0.15,0.25,30
50,25,true,206.6481202,0.1553159562678017,0.32656166305737466,0.18294315426845886,36,42,8.0,48.0,1.0,0.9741403026134801,0.1279229711141678,0.2327,16,2041,0.15,0.25,30
60,30,true,361.6484303,0.16664368663172466,0.4605225351374664,0.29544647882106423,44,42,25.0,58.0,1.0,0.9765461215932913,0.061975890985324945,0.2224,16,2041,0.15,0.25,30
20,10,true,25.0539685,0.1677448212644555,0.39756468089990465,0.2458861102997036,14,16,2.0,19.0,1.0,0.9547164351851852,0.0,0.2893,17,2042,0.15,0.25,30
30,15,true,77.1484114,0.18365108566912125,0.42269728776746673,0.23982195283765959,25,26,2.0,29.0,1.0,0.9394250513347022,0.1906717512466999,0.2343,17,2042,0.15,0.25,30
40,20,true,109.690317,0.1815233210165217,0.33813390342072036,0.15781200268329987,35,35,3.0,39.0,1.0,0.9019429265330905,0.10731633272616879,0.2117,17,2042,0.15,0.25,30
50,25,true,234.2558518,0.19015130201536082,0.5117187901090505,0.31585859175127523,43,44,31.0,49.0,1.0,0.9656508954824913,0.03127506014434643,0.2209,17,2042,0.15,0.25,30
60,30,true,289.6698409,0.1905419761949243,0.5653801475233515,0.36897091169881924,50,55,15.0,59.0,1.0,0.9581697576824151,0.015703262488154866,0.2134,17,2042,0.15,0.25,30
20,10,true,25.4240514,0.17008006431227315,0.3903959399384645,0.2196185954922762,15,17,2.0,19.0,1.0,0.939922480620155,0.0,0.2884,18,2043,0.15,0.25,30
30,15,true,63.7433318,0.16238542678584725,0.4079890358054911,0.24457308382357096,25,26,5.0,29.0,1.0,0.9423772983929347,0.18937309975387287,0.2569,18,2043,0.15,0.25,30
40,20,true,136.6831111,0.16720738947543662,0.42087006896958906,0.24662980340615995,34,36,7.0,39.0,1.0,0.9468145620022753,0.22454493742889647,0.218,18,2043,0.15,0.25,30
50,25,true,255.8556759,0.1627814224939097,0.2444915631219728,0.10978006725135939,25,43,3.0,48.0,1.0,0.9015384615384615,0.07721611721611722,0.2214,18,2043,0.15,0.25,30
60,30,true,381.0262685,0.17553620721591404,0.42592725421050637,0.25065231800667276,42,58,3.0,59.0,1.0,0.9503655793025871,0.04457255343082115,0.2109,18,2043,0.15,0.25,30
20,10,true,25.1112387,0.18108311040965527,0.4375094151199915,0.2662545852931913,15,16,2.0,19.0,1.0,0.9570362022820116,0.0,0.2974,19,2044,0.15,0.25,30
30,15,true,65.3831089,0.16464588484958767,0.3405524373993908,0.18060088665094648,24,26,2.0,29.0,1.0,0.9367664319248826,0.17811032863849766,0.2538,19,2044,0.15,0.25,30
40,20,true,130.6490062,0.16581321352347833,0.3495362859117202,0.18933481535865226,34,36,2.0,39.0,1.0,0.9263932702418507,0.10770617395223074,0.2156,19,2044,0.15,0.25,30
50,25,true,261.354268,0.17492549025428322,0.328389102510969,0.16640609010510596,36,35,4.0,48.0,1.0,0.9554956169925826,0.13189480782198246,0.2289,19,2044,0.15,0.25,30
60,30,true,370.6885133,0.17315861779893718,0.32630205056033357,0.1645220930825598,37,36,3.0,57.0,1.0,0.9484732824427481,0.10231943628890194,0.1969,19,2044,0.15,0.25,30
20,10,true,14.5625221,0.11451199989828288,0.2844204083720102,0.18030448722824255,14,17,2.0,19.0,1.0,0.9458901935893367,0.0,0.2786,20,2045,0.15,0.25,30
30,15,true,24.7949676,0.11457813897370552,0.3955006342715196,0.28607174442712185,25,26,6.0,29.0,1.0,0.9501583597266211,0.18069678279713286,0.2533,20,2045,0.15,0.25,30
40,20,true,51.1029258,0.12266474423378583,0.4696365645801208,0.3370264401585906,34,36,3.0,39.0,1.0,0.9573022804463852,0.19213973799126638,0.2409,20,2045,0.15,0.25,30
50,25,true,116.8411601,0.1257839749592807,0.2551886267020557,0.14657764869115,29,33,2.0,47.0,1.0,0.9457632447728345,0.14871875491274958,0.2374,20,2045,0.15,0.25,30
60,30,false,101.4578316,,,,,,,,,,,0.0,20,2045,0.15,0.25,30
