analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
30,15,false,,0.15430543751251383,0.15631899635983248,-0.004031189382600997,18,25,1.0,29.0,0.4918486619501692,0.1584127960627499,0.2736,15,2040,0.15,0.25,30
40,20,false,,0.16017042474422258,0.177604879416475,0.03168750714670496,13,2,1.0,39.0,0.5787413429689853,0.10900331225534478,0.2428,15,2040,0.15,0.25,30
50,25,true,,0.15706079353065044,0.2660361263839182,0.1382023188916685,31,39,2.0,47.0,0.8626770742989304,0.1595836947094536,0.2458,15,2040,0.15,0.25,30
20,10,true,,0.13365438817383343,0.24809517542955103,0.13486165620161722,13,16,2.0,19.0,0.7166513339466422,0.0,0.3106,16,2041,0.15,0.25,30
20,10,true,,0.1886805086724568,0.5735591709751626,0.3836123203770686,15,17,3.0,19.0,0.850817236255572,0.0,0.2996,17,2042,0.15,0.25,30
20,10,false,,0.3458131849401349,0.15292575465433486,-0.22046270580407573,5,3,1.0,18.0,0.21986442676097848,0.0,0.2872,18,2043,0.15,0.25,30
30,15,false,,0.4363174276432688,0.14431039026784598,-0.27841187251602534,4,3,1.0,26.0,0.18135376756066413,0.01979565772669221,0.236,18,2043,0.15,0.25,30
40,20,true,,0.17447120904990635,0.4334050660841382,0.26317657088901475,35,36,8.0,39.0,0.7611044417767107,0.2259903961584634,0.2196,18,2043,0.15,0.25,30
20,10,false,,0.24012414137630428,0.19039321282569316,-0.1140640801935007,8,2,1.0,19.0,0.38249845392702536,0.0,0.254,19,2044,0.15,0.25,30
30,15,true,,0.17533382615525772,0.34210560793832523,0.1720194204845164,25,27,5.0,29.0,0.7339743589743589,0.3173076923076923,0.248,19,2044,0.15,0.25,30
20,10,true,,0.12707121944609445,0.4915069740157975,0.3833167177583259,16,16,3.0,19.0,0.8065146579804561,0.0,0.2778,20,2045,0.15,0.25,30
20,10,false,,0.17586758789461748,0.1662498570403755,-0.01565673075605091,12,15,1.0,19.0,0.4720828105395232,0.0,0.2968,21,2046,0.15,0.25,30
30,15,false,,0.1625515790358466,0.12715947458121551,-0.053306957268952446,8,2,1.0,28.0,0.39137590520079,0.05497037524687294,0.2762,21,2046,0.15,0.25,30
40,20,false,,0.17449673793120657,0.16263533977067404,-0.013222205802821685,9,1,1.0,38.0,0.48180924287118976,0.10980006555227795,0.2234,21,2046,0.15,0.25,30
50,25,true,,0.14714920831747086,0.21743598038739542,0.09017152938942283,19,1,1.0,45.0,0.7456528146183319,0.16976127320954906,0.2606,21,2046,0.15,0.25,30
20,10,true,,0.13093992143153563,0.3094213559259528,0.1858923897640548,15,18,2.0,19.0,0.7707672796448953,0.0,0.3156,22,2047,0.15,0.25,30
20,10,false,,0.16450268476188287,0.39150362754634827,0.22347070159885926,15,17,2.0,19.0,0.6687725631768953,0.0,0.3024,23,2048,0.15,0.25,30
30,15,false,,0.14776685744456602,0.21146838428341427,0.09224237374143278,24,27,2.0,29.0,0.6324655436447167,0.2566615620214395,0.2796,23,2048,0.15,0.25,30
40,20,true,,0.15309144572817748,0.25172982904504954,0.11408819109656641,29,35,2.0,39.0,0.7726449275362319,0.24818840579710144,0.259,23,2048,0.15,0.25,30
20,10,false,,0.18883441785194593,0.24416403108756915,0.10951547147768435,11,2,1.0,19.0,0.589711417816813,0.0,0.2998,24,2049,0.15,0.25,30
30,15,false,,0.1807975526281352,0.1789807461381656,0.004725857137914596,18,26,1.0,29.0,0.5063791008505468,0.17891859052247874,0.2628,24,2049,0.15,0.25,30
40,20,true,,0.16766389050040736,0.3156377405938338,0.15058052769909655,34,34,17.0,39.0,0.7800687285223368,0.29381443298969073,0.2504,24,2049,0.15,0.25,30
20,10,true,,0.15604423460998956,0.39956658581192755,0.2460094191548081,15,16,2.0,19.0,0.7423554344535271,0.0,0.296,25,2050,0.15,0.25,30
20,10,false,,0.4781030587153374,0.1074417702654132,-0.38770072550558454,3,1,1.0,17.0,0.20557122708039494,0.0,0.2466,26,2051,0.15,0.25,30
30,15,false,,0.18189276424003517,0.14798749934026303,-0.046168601307945076,7,2,1.0,29.0,0.4441704825642832,0.11412469179288481,0.2038,26,2051,0.15,0.25,30
40,20,false,,0.16335436760049807,0.1920607537680838,0.05984479196069892,17,4,2.0,38.0,0.6394900681885561,0.1784761340053365,0.2672,26,2051,0.15,0.25,30
50,25,true,,0.1727553901414245,0.26848945309211614,0.09965987816359359,40,43,27.0,49.0,0.7728388328333787,0.20943550586310336,0.2488,26,2051,0.15,0.25,30
20,10,true,,0.17854739032799102,0.4439076671868077,0.2819226201851098,15,16,2.0,19.0,0.7729876394332228,0.0,0.2966,27,2052,0.15,0.25,30
20,10,false,,0.1593933149203572,0.14352805705196814,-0.02932417690171342,8,4,1.0,19.0,0.43435251798561153,0.0,0.2946,28,2053,0.15,0.25,30
30,15,false,,0.24429921323101184,0.115874696365385,-0.13672153761823652,4,1,1.0,18.0,0.23506261180679786,0.0,0.2476,28,2053,0.15,0.25,30
40,20,true,,0.13717009566154767,0.2769666156571846,0.14068305330781086,32,34,2.0,39.0,0.7512023084321898,0.3504328310355883,0.2606,28,2053,0.15,0.25,30
20,10,false,,0.17312238877118347,0.22156803297368613,0.0746399374812204,13,16,1.0,19.0,0.5924617196702002,0.0,0.2704,29,2054,0.15,0.25,30
30,15,false,,0.15638038835056015,0.18331470130048885,0.042167891006199526,20,26,1.0,29.0,0.586976183298161,0.1787760024118179,0.2606,29,2054,0.15,0.25,30
40,20,false,,0.15944139369186722,0.16190554937228824,-0.0025806222981819837,26,35,1.0,39.0,0.49359547214775096,0.24932975871313673,0.2318,29,2054,0.15,0.25,30
50,25,false,,0.16429616079842527,0.19055330019240752,0.039910687549628926,9,1,1.0,45.0,0.6108075288403157,0.037340619307832425,0.2374,29,2054,0.15,0.25,30
60,30,true,,0.47347193715328517,0.5506818392972844,0.07720990214399925,14,15,12.075,14.925,1.0,0.0,0.0004,29,2054,0.15,0.25,30
20,10,false,,0.1539965529459273,0.13014011659321373,-0.034885688595185455,8,1,1.0,19.0,0.4135384615384615,0.0,0.3084,30,2055,0.15,0.25,30
30,15,false,,0.1358945534978606,0.26514319093231625,0.178902364360806,21,28,1.0,29.0,0.661350525958602,0.2171700033932813,0.2714,30,2055,0.15,0.25,30
40,20,true,,0.14724349940477854,0.31577509062795683,0.1856018320247484,29,34,1.0,39.0,0.7608087091757387,0.24447900466562986,0.2468,30,2055,0.15,0.25,30
20,10,false,,0.23929865189242983,0.17935203972173036,-0.07465295015121676,8,2,1.0,18.0,0.3702010968921389,0.0,0.2992,31,2056,0.15,0.25,30
30,15,false,,0.19100145659499806,0.18719547527346272,-0.0013065539612995836,20,25,2.0,29.0,0.4982837528604119,0.1398741418764302,0.2848,31,2056,0.15,0.25,30
40,20,true,,0.18282986256658612,0.6824549725255347,0.4938715069225619,36,36,30.0,39.0,0.9120511259890445,0.16007303712720633,0.2048,31,2056,0.15,0.25,30
20,10,false,,0.15350074763510316,0.21732286130169148,0.09354419853141559,11,14,1.0,19.0,0.6348448687350835,0.0,0.3316,32,2057,0.15,0.25,30
30,15,false,,0.35851082234992215,0.14014576904263287,-0.22613644878507924,4,2,1.0,27.0,0.23567530695770805,0.03137789904502047,0.228,32,2057,0.15,0.25,30
40,20,true,,0.1577203374290898,0.2709998362793157,0.11996295633383355,34,34,17.849999999999994,39.0,0.7213114754098361,0.323397913561848,0.2346,32,2057,0.15,0.25,30
20,10,false,,0.11624141643845382,0.13917206582641592,0.03529771185432873,11,16,1.0,19.0,0.6026743075453678,0.0,0.3136,33,2058,0.15,0.25,30
30,15,false,,0.1278239218224261,0.17649136930097378,0.05532297949420731,22,25,6.0,29.0,0.6562795089707271,0.1649354737173434,0.3028,33,2058,0.15,0.25,30
